,Week,gmv,list_price,units,product_mrp,discount,sla,product_procurement_sla,% discount wrt list price,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other,NPS,Stock_Index,pay_date_diff,Holiday_flag,Special_Sale_Date
0,27,1544.0,1544.0,2.0,2950.0,1406.0,4.5,3.0,0.9106217616580311,3998509.6319671576,50463.67521888827,593624.0190925734,1737569.9875735473,218.62905177431108,311053.9267049349,128251.58984880218,1177327.8044766372,0.0,0.0,54.599588092376216,1177.0,10,1.0,0.0
1,28,1237541.0,1224345.0,1496.0,2289918.0,1065573.0,5.830265848670757,2.525562372188139,0.8703208654423386,7597168.3007376,95880.98291588773,1127885.6362758894,3301382.9763897397,415.395198371191,591002.4607393763,243678.02071272413,2236922.82850561,0.0,0.0,54.599588092376216,1177.0,3,0.0,0.0
2,29,1519243.0,1500508.0,1794.0,2879899.0,1379391.0,5.7457337883959045,2.5773606370875997,0.9192826696025612,8396870.22713103,105973.71795966537,1246610.440094404,3648896.973904449,459.1210087260533,653213.2460803633,269328.3386824846,2472388.3894009376,0.0,0.0,54.599588092376216,1177.0,18,0.0,2.0
3,30,1479823.0,1462246.0,1850.0,2890694.0,1428448.0,5.83204845814978,2.644273127753304,0.9768862421234183,8396870.22713103,105973.71795966537,1246610.440094404,3648896.973904449,459.1210087260533,653213.2460803633,269328.3386824846,2472388.3894009376,0.0,0.0,54.599588092376216,1177.0,25,0.0,0.0
4,31,978782.0,965706.0,1198.0,1867771.0,902065.0,5.917517006802721,2.6079931972789114,0.9340989907901577,7272204.229030116,86391.7653099359,1128969.9332937791,3053547.7559385155,372.26231797861226,540907.2828575342,224934.98167001898,2237080.2476423536,0.0,0.0,56.13887750141157,1185.2857142857142,13,1.0,0.0
5,32,699.0,699.0,1.0,1450.0,751.0,5.0,4.0,1.0743919885550788,3898206.2347273743,27645.90736074753,776048.412891904,1267500.1020407148,111.6862457362891,203989.39318904706,91754.91063262224,1531155.8223666027,0.0,0.0,59.987101024,1206.0,6,1.0,0.0
6,33,299.0,299.0,1.0,1990.0,1691.0,6.0,1.0,5.655518394648829,2492373.7371012317,3168.4665485857076,628997.7793911226,523313.57958329783,3.112882301987804,63606.9391605107,36263.214367040266,1237020.645168373,0.0,0.0,59.987101024,1206.0,15,0.0,2.0
52,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0
7,35,767.0,767.0,1.0,1090.0,323.0,8.0,1.0,0.4211212516297262,2492373.7371012317,3168.4665485857076,628997.7793911226,523313.57958329783,3.112882301987804,63606.9391605107,36263.214367040266,1237020.645168373,0.0,0.0,59.987101024,1206.0,29,0.0,3.0
8,36,1540123.0,1523153.0,1883.0,3062749.0,1539596.0,5.6395035078251485,2.6988667026443607,1.0107953698676364,29039682.961717196,1128741.6652765393,663777.3969559328,18470368.720133904,177352.21305308968,4787285.208757348,1479661.5399089498,2332496.217631436,0.0,0.0,48.79137330679771,1116.0,9,1.0,0.0
9,37,1931098.0,1915449.0,2379.0,3947700.0,2032251.0,5.762978723404255,2.8263829787234043,1.0609789140822856,46737889.11146117,1879123.7977618417,686963.8086658064,30435072.147167638,295584.94650028145,7936404.055155239,2441927.0902702226,3062813.265940145,0.0,0.0,46.925418687263985,1101.0,2,1.0,0.0
10,38,1638478.0,1612105.0,2167.0,3374058.0,1761953.0,6.217677480018806,2.7259050305594736,1.0929517618269282,48950164.88017917,1972921.5643225042,689862.1101295404,31930660.075546857,310364.0381811804,8330043.9109549755,2562210.2840653816,3154102.8969787336,0.0,0.0,46.925418687263985,1101.0,19,0.0,1.0
11,39,1673931.0,1650775.0,2233.0,3941111.0,2290336.0,5.59498861047836,2.9904328018223234,1.387430752222441,48950164.88017917,1972921.5643225042,689862.1101295404,31930660.075546857,310364.0381811804,8330043.9109549755,2562210.2840653816,3154102.8969787336,0.0,0.0,46.925418687263985,1101.0,26,0.0,0.0
12,40,2158463.0,2138154.0,3575.0,6195275.0,4057121.0,5.042114188807235,2.434991520633126,1.8974877394238208,62204044.32121755,2373366.6189957564,2793568.8645744324,35641333.069570325,837838.5861597144,9726009.082143662,2893588.529371694,7938339.570401963,0.0,0.0,45.48140168539674,1163.2857142857142,11,0.0,0.0
13,41,1727716.0,1705628.0,2254.0,3659985.0,1954357.0,5.673120216118865,2.589374155785682,1.145828398689515,78771393.62251553,2873922.9373373203,5423202.307630549,40279674.312099665,1497181.771132882,11470965.546129521,3307811.3360045846,13918635.412181,0.0,0.0,44.3983889339963,1210.0,4,1.0,0.0
14,42,4872689.971275996,4823257.471275996,7307.0,10992699.0,6169441.528724003,5.706520227999444,2.9304879744195746,1.2791026739635925,83741598.41290492,3024089.83283979,6212092.340547383,41671176.684858456,1694984.7266248323,11994452.485325279,3432078.177994452,15712724.16471471,0.0,0.0,44.3983889339963,1210.0,17,1.0,3.0
15,43,1761058.1105486488,1733037.1105486488,2291.0,3454344.0,1721306.8894513512,6.351339285714285,2.6678571428571427,0.9932314080143477,83741598.41290492,3024089.83283979,6212092.340547383,41671176.684858456,1694984.7266248323,11994452.485325279,3432078.177994452,15712724.16471471,0.0,0.0,44.3983889339963,1210.0,24,0.0,0.0
16,44,2376954.5,2348307.0,3352.0,4733400.0,2385093.0,5.7922983626440265,2.911158277744087,1.0156649024169326,78246780.36335723,2940500.444399657,5682239.713434661,38388896.00537339,1541725.0772505666,11799555.928203441,3424668.549811991,14469194.644883508,0.0,0.0,44.77004765771112,1213.2857142857142,0,0.0,0.0
17,45,2287578.0,2265046.0,3354.0,4877851.0,2612805.0,5.3803921568627455,2.798491704374057,1.1535328642332208,42530463.04129721,2397169.4195387918,2238197.6372019616,17054071.58872042,545537.3563178404,10532728.30691149,3376505.966625995,6386252.765980706,0.0,0.0,46.99999999999999,1233.0,7,0.0,2.0
18,46,1919394.0,1890639.0,2727.0,4100920.0,2210281.0,5.8817164179104475,2.726119402985075,1.169065591051491,26046008.892654125,2146401.254218392,648639.755863793,7207229.550265205,85758.40819504365,9948038.635545976,3354277.0820786124,2655664.206487104,0.0,0.0,46.99999999999999,1233.0,0,0.0,6.0
19,47,1582443.0,1553184.0,2145.0,3403457.0,1850273.0,5.510952380952381,2.6942857142857144,1.1912774017759646,26046008.892654125,2146401.254218392,648639.755863793,7207229.550265205,85758.40819504365,9948038.635545976,3354277.0820786124,2655664.206487104,0.0,0.0,46.99999999999999,1233.0,21,0.0,0.0
20,48,1793622.0,1767198.0,2173.0,3512572.0,1745374.0,5.913348946135831,2.799063231850117,0.9876505066212162,26046008.892654125,2146401.254218392,648639.755863793,7207229.550265205,85758.40819504365,9948038.635545976,3354277.0820786124,2655664.206487104,0.0,0.0,46.99999999999999,1233.0,28,0.0,0.0
21,49,1949101.0,1923468.0,2429.0,3983507.0,2060039.0,5.749686061113437,2.7572205943909585,1.071002480935477,41182111.61206671,2437803.1676898454,1139484.3607721059,19035839.76017702,336907.83764359314,10592081.935353644,3357458.447800828,4282536.1026296755,0.0,0.0,45.97142857142857,1065.857142857143,9,0.0,0.0
22,50,2152005.0,2124854.0,2966.0,4977996.0,2853142.0,5.638632478632479,2.570940170940171,1.3427473134624779,51272846.75834177,2632071.110004148,1466714.0973776479,26921579.900118235,504340.79060929286,11021444.135225423,3359579.3582823053,5367117.366724723,0.0,0.0,45.8,1038.0,2,0.0,0.0
23,51,1844033.0,1819000.0,2274.0,3612794.0,1793794.0,6.302813756141134,2.709691826708352,0.9861429356789445,52534188.65162615,2656354.6027934356,1507617.8144533406,27907297.417610884,525269.9097300053,11075114.410209393,3359844.47209249,5502690.024736605,0.0,0.0,45.8,1038.0,19,1.0,0.0
24,52,2173371.0,2144879.0,3045.0,4550123.0,2405244.0,5.918612408272182,2.7248165443629087,1.1213891319743445,52534188.65162615,2656354.6027934356,1507617.8144533406,27907297.417610884,525269.9097300053,11075114.410209393,3359844.47209249,5502690.024736605,0.0,0.0,45.8,1038.0,26,3.0,3.0
25,53,2106892.0,2082312.0,2915.0,4152990.0,2070678.0,5.725312934631432,2.689847009735744,0.994412941000196,47957335.43318919,2513280.660981486,1140989.3513376396,20524358.06327045,501744.4055675154,11130831.491163392,3436206.005411686,4521067.068360248,379654.8387096774,379654.8387096774,46.35415628215728,1044.0,12,2.0,7.0
26,54,2195650.0,2165949.0,3716.0,4732296.0,2566347.0,5.628587045640885,2.7693358841213445,1.1848603083452103,39566437.866054766,2250978.4343262454,468837.16895885457,6988969.246979648,458614.31460295053,11232979.472912386,3576202.149830211,2721424.981670261,1075688.7096774194,1265516.1290322582,47.09303132503366,1052.0,5,0.0,0.0
