,Week,gmv,list_price,units,product_mrp,discount,sla,product_procurement_sla,% discount wrt list price,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other,NPS,Stock_Index,pay_date_diff,Holiday_flag,Special_Sale_Date
0,27,23853.0,23853.0,12.0,36986.0,13133.0,4.5,3.0,0.5505806397518132,2083187.7435644446,26291.123290226024,309272.802789455,905258.4174763766,113.90377989893564,162056.31281186215,66817.93084345716,613377.2525731687,0.0,0.0,54.599588092376216,1177.0,10,1.0,0.0
1,28,2529221.0,2521061.0,1263.0,3881172.0,1360111.0,5.830265848670757,2.525562372188139,0.5394994409099978,3958056.712772445,49953.13425142946,587618.3252999644,1719990.9932051154,216.4171818079777,307906.9943425381,126954.06860256859,1165416.7798890206,0.0,0.0,54.599588092376216,1177.0,3,0.0,0.0
2,29,3014018.0,2997096.0,1538.0,4762021.0,1764925.0,5.7457337883959045,2.5773606370875997,0.5888783675931635,4374694.261485334,55211.358909474664,649472.8858578553,1901042.6767003909,239.19793778776483,340318.25690491055,140317.65477126001,1288092.2304036543,0.0,0.0,54.599588092376216,1177.0,18,0.0,2.0
3,30,2565623.0,2549945.0,1379.0,4056581.0,1506636.0,5.83204845814978,2.644273127753304,0.590850390890784,4374694.261485334,55211.358909474664,649472.8858578553,1901042.6767003909,239.19793778776483,340318.25690491055,140317.65477126001,1288092.2304036543,0.0,0.0,54.599588092376216,1177.0,25,0.0,0.0
4,31,1954770.0,1939004.0,1011.0,3105900.0,1166896.0,5.917517006802721,2.6079931972789114,0.601801749764312,3788753.338868409,45009.33677881726,588183.2343450728,1590871.0607332804,193.94533703359218,281807.8548679652,117189.11295540562,1165498.793850834,0.0,0.0,56.13887750141157,1185.2857142857142,13,1.0,0.0
5,32,2599.0,2599.0,1.0,3099.0,500.0,5.0,4.0,0.19238168526356292,2030930.5710176341,14403.270386845064,404314.2798067249,660356.2128319484,58.18753477107422,106276.64875712912,47803.487507842416,797718.4841923732,0.0,0.0,59.987101024,1206.0,6,1.0,0.0
50,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,2.0
51,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0
52,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,3.0
6,36,2574481.0,2569205.0,1366.0,4461771.0,1892566.0,5.6395035078251485,2.6988667026443607,0.7366348734336108,15129415.004831325,588064.3087504063,345822.08499355894,9622896.848686418,92398.91622931101,2494132.7618921627,770890.4237516001,1215209.6605278712,0.0,0.0,48.79137330679771,1116.0,9,1.0,0.0
7,37,2891916.0,2887771.0,1581.0,4991330.0,2103559.0,5.762978723404255,2.8263829787234043,0.7284369155310445,24350022.062887892,979006.6861016614,357901.99804543384,15856400.285895322,153997.1125262994,4134795.5056796395,1272222.1660939837,1595698.3085455538,0.0,0.0,46.925418687263985,1101.0,2,1.0,0.0
8,38,2531712.0,2525216.0,1385.0,4334678.0,1809462.0,6.217677480018806,2.7259050305594736,0.7165573162850227,25502597.94514496,1027874.4832705683,359411.98717691813,16635588.215546435,161696.88706342297,4339878.348653074,1334888.6338867815,1643259.389547764,0.0,0.0,46.925418687263985,1101.0,19,0.0,1.0
